what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1481999338185
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1481999338187
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1481999338188
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1481999338189
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1481999338191
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1481999338193
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1481999338194
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1481999338196
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1481999338197
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1481999338199
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1481999338201
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1481999338204
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1481999338205
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1481999338205
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1481999338207
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1481999338209
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1481999338212
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1481999338214
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1481999338215
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1481999338218
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1481999338219
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1481999338221
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1481999338222
os,sysinfo,,,"win32",1481999338230
arch,sysinfo,,,"x86",1481999338230
ws,sysinfo,,,"win32",1481999338230
locale,sysinfo,,,"en_US",1481999338230
processors,sysinfo,,,"4",1481999338230
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1481999338230
java.runtime.version,sysinfo,,,"1.8.0_111-b14",1481999338230
java.specification.name,sysinfo,,,"Java Platform API Specification",1481999338230
java.specification.vendor,sysinfo,,,"Oracle Corporation",1481999338230
java.specification.version,sysinfo,,,"1.8",1481999338230
java.vendor,sysinfo,,,"Oracle Corporation",1481999338230
java.version,sysinfo,,,"1.8.0_111",1481999338230
java.vm.info,sysinfo,,,"mixed mode",1481999338230
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1481999338230
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1481999338230
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1481999338230
java.vm.specification.version,sysinfo,,,"1.8",1481999338230
java.vm.vendor,sysinfo,,,"Oracle Corporation",1481999338230
java.vm.version,sysinfo,,,"25.111-b14",1481999338230
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1481999354746
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1481999356639
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1481999370220
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1481999539632
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1481999539662
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1481999539662
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1481999545814
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1481999751712
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481999757844
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1481999759874
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481999792378
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1481999803992
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1481999823020
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1481999830287
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1481999847531
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481999879464
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1481999900839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1481999911366
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1481999942714
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481999943183
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481999943321
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1481999951571
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1481999965087
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1481999966972
